archivo                                    cls      fn    stub     ref   match   hueco   fidel  diverg  propio
src/orm/checks.py                            1       8       0       0       0       0       0       0       9
src/orm/commands.py                          4      10       0       8       8       0       0       7       6
src/orm/decorators.py                        0      13       0      11      11       0       0       2       2
src/orm/domains.py                           9     142       5      88      83       0       4       5       9
src/orm/environments.py                      4     113       0      78      78       0       0       9      30
src/orm/fields.py                            5     100       1      75      62       0       1       7      38
src/orm/fields_binary.py                     2       6       0      17       2       0       0       0       3
src/orm/fields_company_dependent.py          2      17       0       0       0       0       0       0      19
src/orm/fields_misc.py                       0       4       0      13       1       0       0       1       3
src/orm/fields_nonstored.py                  2      23       0       0       0       0       0       0      24
src/orm/fields_numeric.py                    0       4       0      24       1       0       0       1       3
src/orm/fields_properties.py                 3      50       0      37      36       0       0       8       8
src/orm/fields_reference.py                  0       0       0      10       0       0       0       0       0
src/orm/fields_relational.py                 3      33       2      50      11       0       0       6      21
src/orm/fields_selection.py                  0       0       0      13       0       0       0       0       0
src/orm/fields_temporal.py                   0      21       0      17       0       0       0       0      21
src/orm/fields_textual.py                    2      16       0      45      12       0       0       2       5
src/orm/identifiers.py                       1       7       0       8       8       0       0       0       0
src/orm/inherits.py                          0       3       0       0       0       0       0       0       3
src/orm/method_chain.py                      0       8       0       0       0       0       0       0       8
src/orm/model_classes.py                     0      38       0      16       9       0       0       0      29
src/orm/models.py                           13     114       2     202      71       1       1      16      52
src/orm/models_transient.py                  1       3       0       4       4       0       0       0       0
src/orm/registry.py                         12     132       2      56      54       0       2       3      56
src/orm/routers.py                           2       9       0       0       0       0       0       0      11
src/orm/table_objects.py                     6      33       4      11       9       0       2       1      14
src/orm/types.py                             0       0       0       0       0       0       0       0       0
src/orm/utils.py                             2      16       0       9       9       0       0       0       9
src/tools/_vendor/useragents.py              1       3       0       0       0       0       0       0       4
src/tools/barcode.py                         0       5       0       5       2       0       0       0       3
src/tools/cache.py                           3      16       0      14      14       0       0       1       2
src/tools/config.py                          0      11       0      56       1       0       0       0      10
src/tools/constants.py                       0       0       0       0       0       0       0       0       0
src/tools/convert.py                         2      33       0      28      26       0       0       7       9
src/tools/date_utils.py                      0      23       0      20      20       0       0       1       3
src/tools/facade.py                          4       7       0       8       8       0       0       0       0
src/tools/float_utils.py                     0       6       0      10       5       0       0       3       1
src/tools/func.py                            4      97       0      98      98       0       0       0       0
src/tools/gc.py                              0       5       0       5       5       0       0       0       0
src/tools/i18n.py                            0       2       0       2       2       0       0       0       0
src/tools/image.py                           1      21       0      22      22       0       0       0       0
src/tools/intervals.py                       1      14       0      15      15       0       0       0       0
src/tools/json.py                            2       5       0       7       7       0       0       0       0
src/tools/log_scrubber.py                    0       2       0       0       0       0       0       0       2
src/tools/logging_context.py                 0       4       0       0       0       0       0       0       4
src/tools/logging_handlers.py                1       2       0       0       0       0       0       0       3
src/tools/lru.py                             1      12       0      12      12       0       0       0       0
src/tools/mail.py                            0      11       0      37      11       0       0       1       0
src/tools/misc.py                           10      68       7     106      51       0       7       8       2
src/tools/osutil.py                          0       3       0       3       3       0       0       0       0
src/tools/parse_version.py                   0       2       0       2       2       0       0       0       0
src/tools/pdf/gen_font_c.py                  0       2       0       0       0       0       0       0       2
src/tools/profiler.py                       10      57       3      40      38       0       2       0       0
src/tools/pycompat.py                        0       3       0       3       3       0       0       0       0
src/tools/query.py                           1      25       0      24      24       0       0       0       1
src/tools/safe_eval.py                       1      12       0      13      13       0       0       0       0
src/tools/set_expression.py                  6      63      13      36      23       0      13       0       0
src/tools/speedscope.py                      1      10       0      11      11       0       0       0       0
src/tools/sql.py                             1      36       0      50      34       0       0       6       3
src/tools/template_inheritance.py            0       5       0       5       5       0       0       0       0
src/tools/translate.py                       0       2       0      90       0       0       0       0       2
src/tools/urls.py                            0       2       0       2       2       0       0       0       0
src/tools/which.py                           0       2       0       2       2       0       0       0       0
src/tools/zeep/client.py                     3      25       3       0       0       0       0       0      24
src/tools/zeep/exceptions.py                 0       0       0       0       0       0       0       0       0
src/tools/zeep/helpers.py                    0       0       0       0       0       0       0       0       0
src/tools/zeep/ns.py                         0       0       0       0       0       0       0       0       0
src/tools/zeep/wsa.py                        0       0       0       0       0       0       0       0       0
src/tools/zeep/wsdl/utils.py                 0       0       0       0       0       0       0       0       0
TOTAL                                      127    1519      42    1518     928       1      32      95     458

alcance medido: 69 archivo(s); 17 sin contraparte de nombre en la referencia
salida: /home/user/kaupamex-api/scripts/workbench/orm-symbol-presence-census-20260910T175850/outputs/census.json
EXIT=0
