archivo: .venv/lib/python3.12/site-packages/django/db/models/query.py  (2782 lineas)

=== QuerySet(AltersData)  :283-2097  metodos=111 atributos=1
  ATTR	as_manager	325	as_manager = classmethod(as_manager)
  DEF 	__init__	286-300	-	(self, model=None, query=None, using=None, hints=None)	
  DEF 	query	303-308	property	(self)	
  DEF 	query	311-314	query.setter	(self, value)	
  DEF 	as_manager	316-322	-	(cls)	
  DEF 	__deepcopy__	331-339	-	(self, memo)	Don't populate the QuerySet's cache.
  DEF 	__getstate__	341-344	-	(self)	
  DEF 	__setstate__	346-363	-	(self, state)	
  DEF 	__repr__	365-369	-	(self)	
  DEF 	__len__	371-373	-	(self)	
  DEF 	__iter__	375-391	-	(self)	The queryset iterator protocol uses three nested iterators in the
  DEF 	__aiter__	393-401	-	(self)	
  DEF 	__bool__	403-405	-	(self)	
  DEF 	__getitem__	407-442	-	(self, k)	Retrieve an item or slice from the set of results.
  DEF 	__class_getitem__	444-445	-	(cls, *args, **kwargs)	
  DEF 	__and__	447-457	-	(self, other)	
  DEF 	__or__	459-476	-	(self, other)	
  DEF 	__xor__	478-495	-	(self, other)	
  DEF 	_iterator	501-514	-	(self, use_chunked_fetch, chunk_size)	
  DEF 	iterator	516-533	-	(self, chunk_size=None)	An iterator over the results from applying this QuerySet to the
  DEF 	aiterator	535-569	-	(self, chunk_size=2000)	An asynchronous iterator over the results from applying this QuerySet
  DEF 	aggregate	571-594	-	(self, *args, **kwargs)	Return a dictionary containing the calculations (aggregation)
  DEF 	aaggregate	596-597	-	(self, *args, **kwargs)	
  DEF 	count	599-610	-	(self)	Perform a SELECT COUNT() and return the number of records as an
  DEF 	acount	612-613	-	(self)	
  DEF 	get	615-648	-	(self, *args, **kwargs)	Perform the query and return a single object matching the given
  DEF 	aget	650-651	-	(self, *args, **kwargs)	
  DEF 	create	653-670	-	(self, **kwargs)	Create a new object with the given kwargs, saving it to the database
  DEF 	acreate	674-675	-	(self, **kwargs)	
  DEF 	_prepare_for_bulk_create	679-693	-	(self, objs)	
  DEF 	_check_bulk_create_options	695-747	-	(self, ignore_conflicts, update_conflicts, update_fields, unique_fields)	
  DEF 	bulk_create	749-853	-	(self, objs, batch_size=None, ignore_conflicts=False, update_conflicts=False, update_fields=None, unique_fields=None)	Insert each of the instances into the database. Do *not* call
  DEF 	_handle_order_with_respect_to	855-884	-	(self, objs)	
  DEF 	abulk_create	888-904	-	(self, objs, batch_size=None, ignore_conflicts=False, update_conflicts=False, update_fields=None, unique_fields=None)	
  DEF 	bulk_update	908-964	-	(self, objs, fields, batch_size=None)	Update the given fields in each of the given objects in the database.
  DEF 	abulk_update	968-973	-	(self, objs, fields, batch_size=None)	
  DEF 	get_or_create	977-1000	-	(self, defaults=None, **kwargs)	Look up an object with the given kwargs, creating one if necessary.
  DEF 	aget_or_create	1004-1008	-	(self, defaults=None, **kwargs)	
  DEF 	update_or_create	1012-1056	-	(self, defaults=None, create_defaults=None, **kwargs)	Look up an object with the given kwargs, updating one with defaults
  DEF 	aupdate_or_create	1060-1065	-	(self, defaults=None, create_defaults=None, **kwargs)	
  DEF 	_extract_model_params	1069-1094	-	(self, defaults, **kwargs)	Prepare `params` for creating a model instance based on the given
  DEF 	_earliest	1096-1116	-	(self, *fields)	Return the earliest object according to fields (if given) or by the
  DEF 	earliest	1118-1121	-	(self, *fields)	
  DEF 	aearliest	1123-1124	-	(self, *fields)	
  DEF 	latest	1126-1133	-	(self, *fields)	Return the latest object according to fields (if given) or by the
  DEF 	alatest	1135-1136	-	(self, *fields)	
  DEF 	first	1138-1146	-	(self)	Return the first object of a query or None if no match is found.
  DEF 	afirst	1148-1149	-	(self)	
  DEF 	last	1151-1159	-	(self)	Return the last object of a query or None if no match is found.
  DEF 	alast	1161-1162	-	(self)	
  DEF 	in_bulk	1164-1206	-	(self, id_list=None, *, field_name='pk')	Return a dictionary mapping each of the given IDs to the object with
  DEF 	ain_bulk	1208-1212	-	(self, id_list=None, *, field_name='pk')	
  DEF 	delete	1214-1242	-	(self)	Delete the records in the current QuerySet.
  DEF 	adelete	1247-1248	-	(self)	
